,id,age,capitalgain,capitalloss,country,education,educationnum,fnlwgt,hours,maritalstatus,occupation,race,relationship,salary,sex,workclass
16,23912,47,0,0, United-States, HS-grad,9,216657,60, Married-civ-spouse, Farming-fishing, White, Husband, <=50K, Male, Self-emp-not-inc
17,9067,29,0,0, United-States, Assoc-voc,11,134890,40, Married-civ-spouse, Farming-fishing, White, Husband, >50K, Male, Private
18,24066,36,0,0, United-States, Bachelors,13,68273,40, Married-civ-spouse, Sales, White, Husband, >50K, Male, Private
19,31676,36,0,0, United-States, Some-college,10,749636,40, Divorced, Adm-clerical, White, Unmarried, <=50K, Female, Private
20,18410,69,10605,0, United-States, Bachelors,13,254834,10, Married-civ-spouse, ?, White, Husband, >50K, Male, ?
21,17062,38,2354,0, United-States, Assoc-voc,11,203761,40, Never-married, Tech-support, White, Not-in-family, <=50K, Female, Private
22,14059,28,0,0, Cuba, Masters,14,224629,30, Never-married, Exec-managerial, Other, Not-in-family, <=50K, Male, Private
23,4830,42,0,0, United-States, Assoc-voc,11,200187,32, Divorced, Other-service, White, Unmarried, <=50K, Female, Private
24,2731,54,0,0, United-States, HS-grad,9,96710,20, Married-civ-spouse, Priv-house-serv, Black, Other-relative, <=50K, Female, Private
25,27002,45,0,0, United-States, Assoc-voc,11,102202,40, Divorced, Adm-clerical, White, Not-in-family, <=50K, Female, Private
26,28069,19,0,0, United-States, 7th-8th,4,282698,80, Never-married, Adm-clerical, White, Own-child, <=50K, Male, Private
27,10113,18,1055,0, United-States, HS-grad,9,186909,30, Never-married, Sales, White, Other-relative, <=50K, Female, Private
28,5056,22,0,0, United-States, Some-college,10,119838,10, Never-married, Other-service, White, Own-child, <=50K, Male, State-gov
29,11194,45,0,0, United-States, HS-grad,9,195554,45, Married-civ-spouse, Machine-op-inspct, White, Husband, >50K, Male, Private
30,22591,39,0,0, United-States, Bachelors,13,103260,30, Married-civ-spouse, Craft-repair, White, Wife, >50K, Female, Private
31,30868,32,0,0, United-States, 10th,6,143604,37, Married-spouse-absent, Other-service, Black, Not-in-family, <=50K, Female, Private
32,19124,20,0,0, United-States, HS-grad,9,62865,45, Never-married, Priv-house-serv, White, Not-in-family, <=50K, Female, Private
33,28572,45,0,0, United-States, Assoc-acdm,12,170099,40, Married-civ-spouse, Handlers-cleaners, White, Husband, <=50K, Male, Local-gov
34,6428,39,0,0, United-States, HS-grad,9,387430,18, Never-married, Other-service, White, Not-in-family, <=50K, Male, Private
35,11929,45,0,0, United-States, Bachelors,13,249935,60, Married-civ-spouse, Farming-fishing, White, Husband, <=50K, Male, Private
36,18464,74,99999,0, United-States, Prof-school,15,188709,50, Married-civ-spouse, Prof-specialty, White, Husband, >50K, Male, Private
37,22607,32,0,0, United-States, HS-grad,9,143604,16, Divorced, Other-service, Black, Not-in-family, <=50K, Female, Private
38,17728,27,0,0, United-States, Assoc-voc,11,199471,38, Never-married, Tech-support, White, Own-child, <=50K, Female, Local-gov
39,2713,20,0,0, United-States, HS-grad,9,224059,40, Never-married, Other-service, White, Not-in-family, <=50K, Male, Private
40,769,47,0,0, United-States, Bachelors,13,106252,50, Divorced, Sales, White, Not-in-family, <=50K, Female, Self-emp-not-inc
41,9973,43,9562,0, United-States, Masters,14,143828,40, Divorced, Prof-specialty, Black, Unmarried, >50K, Female, Local-gov
42,23747,19,0,0, United-States, HS-grad,9,37332,20, Never-married, Adm-clerical, White, Not-in-family, <=50K, Female, State-gov
43,17533,53,0,0, United-States, 10th,6,208302,34, Married-civ-spouse, Other-service, White, Husband, <=50K, Male, Private
44,18045,48,0,0, Mexico, Bachelors,13,378221,60, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, Local-gov
45,1863,61,5178,0, United-States, Bachelors,13,95450,50, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, Local-gov
46,32345,34,0,0, United-States, Bachelors,13,121966,45, Married-spouse-absent, Adm-clerical, White, Not-in-family, <=50K, Female, Private
47,9495,63,0,0, United-States, 7th-8th,4,179444,15, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Self-emp-not-inc
48,7863,29,0,0, ?, Some-college,10,125159,36, Never-married, ?, Black, Not-in-family, <=50K, Male, ?
49,15957,59,0,0, United-States, Some-college,10,233312,40, Married-civ-spouse, Craft-repair, White, Husband, >50K, Male, Private
50,30342,50,0,0, United-States, HS-grad,9,201513,40, Divorced, Adm-clerical, White, Own-child, <=50K, Female, State-gov
51,27280,26,0,0, United-States, HS-grad,9,298225,45, Married-civ-spouse, Adm-clerical, White, Husband, <=50K, Male, Private
52,24514,32,0,0, United-States, Some-college,10,198660,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
53,15312,41,0,1902, United-States, Some-college,10,267252,40, Married-civ-spouse, Machine-op-inspct, Black, Husband, >50K, Male, Private
54,13892,48,0,0, United-States, Some-college,10,117849,40, Married-civ-spouse, Prof-specialty, White, Husband, >50K, Male, Private
55,25337,54,0,0, United-States, HS-grad,9,27432,40, Married-civ-spouse, Adm-clerical, White, Husband, >50K, Male, Federal-gov
56,25693,39,0,0, United-States, Masters,14,65738,32, Never-married, Other-service, White, Not-in-family, <=50K, Female, Private
57,2453,20,0,0, United-States, 10th,6,171398,40, Never-married, Sales, Other, Not-in-family, <=50K, Male, Private
58,11464,45,0,0, United-States, HS-grad,9,241350,40, Never-married, Transport-moving, White, Not-in-family, <=50K, Male, Private
59,2302,45,0,0, United-States, HS-grad,9,158685,40, Separated, Sales, White, Not-in-family, <=50K, Female, Private
60,15868,40,0,0, United-States, Bachelors,13,150533,40, Married-civ-spouse, Prof-specialty, White, Other-relative, <=50K, Male, State-gov
61,19859,52,0,0, United-States, 11th,7,61735,40, Married-civ-spouse, Other-service, White, Husband, <=50K, Male, Private
62,15732,41,0,1887, United-States, HS-grad,9,223671,55, Married-civ-spouse, Sales, White, Husband, >50K, Male, Self-emp-inc
63,26643,36,0,0, United-States, HS-grad,9,98360,40, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Private
64,19729,22,0,0, United-States, HS-grad,9,202745,55, Never-married, Machine-op-inspct, White, Other-relative, <=50K, Male, Private
65,4120,25,0,0, United-States, HS-grad,9,178037,40, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Private
66,27423,63,0,0, United-States, HS-grad,9,208862,40, Never-married, Craft-repair, White, Not-in-family, <=50K, Male, Private
67,26697,56,0,0, United-States, HS-grad,9,174040,40, Divorced, Other-service, White, Not-in-family, <=50K, Male, Private
68,14799,20,0,0, United-States, HS-grad,9,353195,35, Never-married, Craft-repair, White, Not-in-family, <=50K, Male, Private
69,14627,40,7298,0, United-States, Some-college,10,188436,40, Married-civ-spouse, Protective-serv, White, Husband, >50K, Male, Local-gov
70,24909,40,0,0, United-States, Bachelors,13,306495,35, Married-civ-spouse, Prof-specialty, White, Husband, <=50K, Male, Local-gov
71,15822,27,0,0, United-States, HS-grad,9,110931,40, Married-civ-spouse, Adm-clerical, White, Husband, <=50K, Male, Private
72,5801,19,0,0, United-States, 10th,6,415354,40, Divorced, Other-service, White, Not-in-family, <=50K, Female, Private
73,9979,47,0,1876, United-States, HS-grad,9,151584,40, Divorced, Sales, White, Own-child, <=50K, Male, Private
74,7540,24,0,0, United-States, 12th,8,200819,40, Never-married, Sales, White, Not-in-family, <=50K, Male, Private
75,18249,45,0,0, United-States, Some-college,10,81132,55, Married-civ-spouse, Tech-support, Asian-Pac-Islander, Husband, >50K, Male, Private
76,32454,46,0,0, United-States, Some-college,10,42251,45, Married-civ-spouse, Sales, White, Husband, >50K, Male, Private
77,15980,48,0,0, United-States, 12th,8,120724,50, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Private
78,24785,18,0,0, United-States, 11th,7,157131,40, Never-married, Sales, White, Own-child, <=50K, Female, Self-emp-not-inc
79,30851,37,0,0, United-States, HS-grad,9,126569,40, Never-married, Craft-repair, White, Not-in-family, <=50K, Male, Local-gov
80,3733,32,5178,0, United-States, HS-grad,9,107843,50, Married-civ-spouse, Machine-op-inspct, White, Husband, >50K, Male, Private
81,1765,46,27828,0, United-States, Masters,14,133938,50, Divorced, Exec-managerial, White, Not-in-family, >50K, Female, Private
82,7789,40,0,0, United-States, 11th,7,198452,40, Married-civ-spouse, Farming-fishing, White, Husband, <=50K, Male, Private
83,9527,49,0,0, United-States, Assoc-acdm,12,185385,45, Married-civ-spouse, Sales, White, Husband, <=50K, Male, Private
84,4822,47,0,0, United-States, Bachelors,13,216734,50, Divorced, Sales, White, Unmarried, <=50K, Female, Private
85,31629,53,0,0, United-States, Bachelors,13,155594,40, Married-civ-spouse, Prof-specialty, White, Husband, >50K, Male, Federal-gov
86,14112,37,0,0, United-States, Some-college,10,160035,40, Divorced, Machine-op-inspct, White, Not-in-family, <=50K, Male, Private
87,10889,25,0,0, El-Salvador, HS-grad,9,483822,40, Never-married, Other-service, White, Own-child, <=50K, Male, Private
88,13952,30,0,0, United-States, Assoc-voc,11,160634,40, Never-married, Craft-repair, White, Own-child, >50K, Male, Private
89,27540,25,0,0, United-States, 10th,6,47353,40, Married-civ-spouse, Other-service, White, Wife, <=50K, Female, Private
90,27162,43,0,0, United-States, HS-grad,9,193882,40, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, Private
91,4650,48,0,0, United-States, Some-college,10,398843,35, Separated, Sales, Black, Unmarried, <=50K, Female, Private
92,1580,72,0,0, United-States, HS-grad,9,213255,8, Widowed, ?, White, Not-in-family, <=50K, Female, ?
93,10756,23,0,0, United-States, Some-college,10,85088,37, Never-married, Other-service, White, Own-child, <=50K, Female, Private
94,7018,28,0,0, United-States, Bachelors,13,183639,21, Never-married, Adm-clerical, White, Not-in-family, <=50K, Male, Private
95,7181,24,0,0, United-States, Bachelors,13,100321,45, Married-civ-spouse, Prof-specialty, White, Husband, <=50K, Male, Private
96,21403,62,0,0, United-States, HS-grad,9,236096,40, Divorced, Exec-managerial, Black, Not-in-family, <=50K, Male, Self-emp-inc
97,7539,27,0,0, United-States, HS-grad,9,56870,40, Married-civ-spouse, Machine-op-inspct, White, Husband, <=50K, Male, Private
98,21799,50,0,0, Philippines, 5th-6th,3,71898,35, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Wife, <=50K, Female, Private
99,15534,21,0,0, United-States, HS-grad,9,232719,40, Never-married, Craft-repair, Black, Own-child, <=50K, Male, Without-pay
100,29343,31,0,0, United-States, HS-grad,9,184889,20, Never-married, Other-service, Black, Own-child, <=50K, Female, Private
101,30687,33,0,1617, United-States, HS-grad,9,190772,40, Never-married, Adm-clerical, White, Not-in-family, <=50K, Female, Private
102,20026,52,0,0, United-States, 12th,8,232132,45, Married-civ-spouse, Machine-op-inspct, White, Husband, >50K, Male, Private
103,22521,44,0,0, United-States, HS-grad,9,187720,41, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
104,30258,23,0,0, United-States, Bachelors,13,239375,40, Never-married, Machine-op-inspct, White, Own-child, <=50K, Male, Private
105,2062,20,0,0, United-States, Some-college,10,376474,32, Never-married, ?, White, Own-child, <=50K, Male, ?
106,26353,50,0,0, United-States, Bachelors,13,276241,40, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, State-gov
107,4701,26,0,0, Guatemala, 12th,8,138152,48, Never-married, Craft-repair, Other, Other-relative, <=50K, Male, Private
108,1199,18,0,0, Dominican-Republic, HS-grad,9,240747,40, Never-married, Machine-op-inspct, White, Own-child, <=50K, Female, Private
109,23126,31,0,0, Mexico, 1st-4th,2,339482,40, Married-civ-spouse, Machine-op-inspct, White, Husband, <=50K, Male, Private
110,11773,40,2174,0, Poland, HS-grad,9,149102,60, Married-spouse-absent, Handlers-cleaners, White, Not-in-family, <=50K, Male, Private
111,15422,33,0,0, United-States, Assoc-voc,11,186824,40, Married-civ-spouse, Sales, White, Husband, <=50K, Male, Private
112,20210,45,0,0, United-States, Some-college,10,90803,40, Married-civ-spouse, Adm-clerical, White, Husband, <=50K, Male, State-gov
113,31359,31,0,0, United-States, HS-grad,9,59732,40, Married-civ-spouse, Farming-fishing, Amer-Indian-Eskimo, Husband, <=50K, Male, Federal-gov
114,17571,49,0,0, United-States, Bachelors,13,195956,35, Divorced, Tech-support, White, Unmarried, <=50K, Female, Private
115,3939,38,0,0, United-States, Some-college,10,82622,40, Divorced, Craft-repair, White, Unmarried, <=50K, Male, Private
116,23,35,0,0, United-States, 9th,5,76845,40, Married-civ-spouse, Farming-fishing, Black, Husband, <=50K, Male, Federal-gov
117,11600,22,0,0, United-States, Some-college,10,300871,40, Never-married, Adm-clerical, White, Own-child, <=50K, Male, Private
118,26644,40,0,0, United-States, Masters,14,202872,40, Married-civ-spouse, Prof-specialty, White, Wife, >50K, Female, Local-gov
119,13535,50,0,0, United-States, HS-grad,9,87263,55, Married-civ-spouse, ?, White, Husband, >50K, Male, ?
120,7099,32,0,0, United-States, Some-college,10,182975,20, Never-married, Tech-support, White, Not-in-family, <=50K, Female, Private
121,21153,44,0,0, Poland, Some-college,10,191982,10, Divorced, ?, White, Unmarried, <=50K, Female, ?
122,5900,23,0,0, El-Salvador, Some-college,10,200089,40, Married-civ-spouse, Craft-repair, White, Other-relative, <=50K, Male, Private
123,27454,32,0,0, United-States, HS-grad,9,205072,48, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Self-emp-not-inc
124,23196,25,0,0, United-States, Some-college,10,257064,38, Married-civ-spouse, Adm-clerical, Black, Husband, <=50K, Male, State-gov
125,23002,29,0,0, El-Salvador, 5th-6th,3,337693,40, Never-married, Other-service, White, Own-child, <=50K, Female, Private
126,114,28,4064,0, United-States, Some-college,10,377869,25, Married-civ-spouse, Sales, White, Wife, <=50K, Female, Private
127,17455,51,7688,0, United-States, HS-grad,9,139347,40, Married-civ-spouse, Adm-clerical, White, Wife, >50K, Female, Private
128,10826,47,0,0, United-States, 11th,7,145269,45, Divorced, Craft-repair, White, Not-in-family, <=50K, Female, Private
129,24177,39,0,0, United-States, Some-college,10,218249,37, Separated, Prof-specialty, Black, Unmarried, <=50K, Female, State-gov
130,1548,38,0,0, United-States, Bachelors,13,180342,40, Married-civ-spouse, Adm-clerical, White, Husband, <=50K, Male, Private
131,24564,20,0,0, United-States, Some-college,10,745817,15, Never-married, Tech-support, White, Own-child, <=50K, Female, Private
132,31688,21,0,0, United-States, Some-college,10,197997,30, Never-married, Adm-clerical, White, Own-child, <=50K, Male, Private
133,16567,23,0,0, United-States, Bachelors,13,146399,55, Never-married, ?, White, Not-in-family, <=50K, Male, ?
134,9589,53,0,0, United-States, Masters,14,233734,40, Divorced, Prof-specialty, Black, Not-in-family, >50K, Female, Local-gov
135,15385,45,0,0, United-States, HS-grad,9,304973,78, Married-civ-spouse, Protective-serv, White, Husband, >50K, Male, Local-gov
136,15056,52,0,0, United-States, HS-grad,9,224198,48, Divorced, Sales, White, Not-in-family, <=50K, Female, Private
137,32232,44,0,0, United-States, HS-grad,9,33105,40, Married-civ-spouse, Exec-managerial, Amer-Indian-Eskimo, Husband, <=50K, Male, Private
138,19377,34,0,0, United-States, HS-grad,9,186346,40, Separated, Other-service, White, Not-in-family, <=50K, Female, Private
139,24855,27,0,0, United-States, Bachelors,13,172009,40, Never-married, Exec-managerial, White, Not-in-family, <=50K, Female, Private
140,24741,53,0,0, United-States, HS-grad,9,165745,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
141,19468,45,0,0, United-States, Bachelors,13,32356,51, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Self-emp-inc
142,20469,57,0,0, United-States, HS-grad,9,195876,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
143,14065,61,0,0, United-States, HS-grad,9,175999,40, Married-civ-spouse, Machine-op-inspct, White, Husband, <=50K, Male, Private
144,30512,61,0,0, United-States, HS-grad,9,140300,44, Never-married, Sales, White, Not-in-family, <=50K, Female, Self-emp-not-inc
145,29362,46,0,0, United-States, HS-grad,9,164427,45, Divorced, Adm-clerical, White, Own-child, <=50K, Female, Private
146,6390,18,594,0, United-States, 11th,7,32244,30, Never-married, Handlers-cleaners, White, Own-child, <=50K, Male, Private
147,20915,23,0,0, Guatemala, HS-grad,9,154978,40, Married-civ-spouse, Other-service, White, Husband, <=50K, Male, Private
148,3246,48,3103,0, United-States, Some-college,10,235646,40, Married-civ-spouse, Sales, White, Husband, >50K, Male, Private
149,16299,19,0,0, United-States, Some-college,10,343200,25, Never-married, Sales, White, Own-child, <=50K, Female, Private
150,2744,30,0,1902, United-States, HS-grad,9,199539,40, Married-civ-spouse, Adm-clerical, White, Husband, <=50K, Male, State-gov
151,10383,22,0,0, United-States, Bachelors,13,190625,20, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, State-gov
152,13608,20,0,0, United-States, Some-college,10,217467,40, Never-married, Craft-repair, White, Own-child, <=50K, Male, Private
153,12687,63,0,0, United-States, 11th,7,187919,30, Married-civ-spouse, Other-service, White, Husband, <=50K, Male, Private
154,27813,28,0,0, United-States, Some-college,10,114158,26, Never-married, Adm-clerical, White, Own-child, <=50K, Female, Private
155,5679,49,0,0, United-States, Masters,14,178749,40, Married-spouse-absent, Adm-clerical, White, Unmarried, <=50K, Female, Private
156,5582,44,0,0, United-States, HS-grad,9,169397,40, Married-civ-spouse, Craft-repair, White, Husband, >50K, Male, Private
157,660,43,0,0, United-States, HS-grad,9,174524,40, Married-civ-spouse, Machine-op-inspct, White, Husband, >50K, Male, Private
158,19718,39,0,0, United-States, HS-grad,9,163204,40, Married-civ-spouse, Sales, White, Husband, <=50K, Male, Self-emp-not-inc
159,25369,57,0,0, United-States, HS-grad,9,161964,55, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
160,4975,56,0,0, United-States, Prof-school,15,282023,45, Married-civ-spouse, Prof-specialty, White, Husband, >50K, Male, Private
161,32446,61,0,1669, United-States, HS-grad,9,190682,50, Widowed, Craft-repair, Black, Not-in-family, <=50K, Female, Private
162,7340,34,0,0, United-States, Some-college,10,29254,55, Married-civ-spouse, Craft-repair, White, Husband, >50K, Male, Self-emp-not-inc
163,6729,32,0,0, United-States, Assoc-voc,11,127384,55, Married-civ-spouse, Craft-repair, White, Husband, >50K, Male, Private
164,893,28,0,0, India, Assoc-voc,11,164170,40, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Wife, <=50K, Female, Private
165,9339,27,0,0, United-States, Assoc-acdm,12,236246,40, Married-civ-spouse, Exec-managerial, White, Husband, <=50K, Male, Private
166,4004,23,0,0, United-States, Some-college,10,114357,40, Never-married, ?, White, Not-in-family, <=50K, Male, ?
167,30273,23,0,0, El-Salvador, 7th-8th,4,256278,30, Married-civ-spouse, Handlers-cleaners, Other, Other-relative, <=50K, Female, Private
168,12894,49,0,0, United-States, Masters,14,79019,16, Widowed, Prof-specialty, White, Unmarried, <=50K, Female, Local-gov
169,11385,34,0,1564, India, Prof-school,15,98283,40, Never-married, Tech-support, Asian-Pac-Islander, Not-in-family, >50K, Male, Private
170,22320,37,0,0, United-States, HS-grad,9,184498,40, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Private
171,6981,29,0,0, United-States, Masters,14,289991,50, Married-civ-spouse, Prof-specialty, White, Husband, <=50K, Male, Local-gov
172,3254,30,0,0, United-States, HS-grad,9,91145,55, Never-married, Handlers-cleaners, White, Unmarried, <=50K, Male, Private
173,8992,29,0,0, United-States, HS-grad,9,44921,40, Married-civ-spouse, ?, White, Wife, <=50K, Female, ?
174,27334,37,0,0, United-States, 11th,7,138940,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
175,21282,62,0,2415, United-States, Bachelors,13,56248,60, Married-civ-spouse, Farming-fishing, White, Husband, >50K, Male, Self-emp-inc
176,21447,29,0,0, France, HS-grad,9,178649,20, Married-spouse-absent, Other-service, White, Not-in-family, <=50K, Female, Private
177,21729,23,0,0, United-States, Bachelors,13,38238,40, Never-married, Other-service, White, Own-child, <=50K, Male, Private
178,4877,25,0,0, United-States, Bachelors,13,179059,40, Never-married, Prof-specialty, White, Own-child, <=50K, Male, Local-gov
179,20765,30,0,1876, United-States, Bachelors,13,164552,40, Never-married, Prof-specialty, White, Not-in-family, <=50K, Male, Federal-gov
180,15256,30,0,0, United-States, HS-grad,9,277314,40, Separated, Machine-op-inspct, Black, Not-in-family, <=50K, Male, Private
181,24731,31,0,0, Mexico, Some-college,10,310773,40, Separated, Sales, White, Unmarried, <=50K, Female, Private
182,18297,39,0,0, United-States, Some-college,10,63021,20, Divorced, Other-service, White, Not-in-family, <=50K, Female, Private
183,11062,43,0,0, United-States, HS-grad,9,175715,55, Never-married, Exec-managerial, Black, Not-in-family, <=50K, Male, Self-emp-inc
184,17891,34,0,0, United-States, HS-grad,9,324254,40, Married-civ-spouse, Machine-op-inspct, White, Husband, <=50K, Male, Private
185,17168,41,3942,0, United-States, Some-college,10,103759,40, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Local-gov
186,7071,30,0,0, Mexico, Preschool,1,193598,40, Never-married, Farming-fishing, White, Not-in-family, <=50K, Male, Private
187,31193,31,0,0, United-States, HS-grad,9,128567,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
188,10437,25,0,0, United-States, Bachelors,13,117833,35, Never-married, Prof-specialty, White, Not-in-family, <=50K, Female, Local-gov
189,15818,52,0,0, United-States, Some-college,10,284329,45, Married-civ-spouse, Craft-repair, White, Husband, >50K, Male, Private
190,15144,43,0,0, England, Some-college,10,339767,20, Married-civ-spouse, Other-service, White, Wife, >50K, Female, Private
191,20391,66,0,0, United-States, Some-college,10,210825,40, Married-civ-spouse, Tech-support, White, Husband, >50K, Male, Private
192,8969,61,0,0, United-States, 9th,5,215944,25, Divorced, Sales, White, Not-in-family, <=50K, Male, Private
193,28980,49,0,0, United-States, HS-grad,9,306289,40, Married-civ-spouse, Exec-managerial, White, Husband, >50K, Male, Self-emp-inc
194,8951,27,0,0, United-States, Bachelors,13,216481,40, Never-married, Prof-specialty, White, Not-in-family, <=50K, Female, Private
195,7534,26,0,0, United-States, HS-grad,9,224361,40, Never-married, Exec-managerial, White, Not-in-family, <=50K, Male, Private
196,17012,27,0,0, United-States, HS-grad,9,174645,40, Never-married, Adm-clerical, White, Own-child, <=50K, Female, Private
197,27870,26,0,0, United-States, HS-grad,9,192208,32, Never-married, Protective-serv, Black, Not-in-family, <=50K, Female, Private
198,28222,25,0,0, United-States, HS-grad,9,509866,78, Never-married, Transport-moving, White, Not-in-family, <=50K, Male, Private
199,26940,50,0,0, United-States, 10th,6,117295,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
200,1193,39,0,0, United-States, HS-grad,9,33886,60, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Private
201,11894,41,0,0, United-States, Some-college,10,49797,40, Separated, Exec-managerial, Black, Not-in-family, <=50K, Female, Private
202,53,47,0,1902, Honduras, Prof-school,15,51835,60, Married-civ-spouse, Prof-specialty, White, Wife, >50K, Female, Private
203,7937,32,0,0, United-States, Bachelors,13,71151,20, Married-civ-spouse, Tech-support, White, Husband, <=50K, Male, State-gov
204,987,41,0,0, United-States, HS-grad,9,349221,35, Never-married, Craft-repair, Black, Own-child, <=50K, Female, Private
205,11445,34,0,0, Mexico, Some-college,10,141058,62, Married-civ-spouse, Other-service, White, Husband, <=50K, Male, Private
206,3305,37,0,0, United-States, HS-grad,9,175130,45, Divorced, Adm-clerical, White, Unmarried, <=50K, Female, Private
207,2747,57,594,0, United-States, Some-college,10,296152,10, Divorced, Exec-managerial, White, Other-relative, <=50K, Female, Private
208,8401,26,13550,0, United-States, Bachelors,13,164488,50, Never-married, Prof-specialty, White, Not-in-family, >50K, Male, Private
209,10324,35,0,0, United-States, HS-grad,9,101978,50, Separated, Transport-moving, White, Not-in-family, <=50K, Male, Private
210,9521,58,0,0, United-States, Bachelors,13,220789,45, Divorced, Transport-moving, White, Not-in-family, <=50K, Male, Private
211,12120,54,0,1579, United-States, Some-college,10,58898,48, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Self-emp-not-inc
212,18320,34,0,0, United-States, 11th,7,193565,40, Married-civ-spouse, Craft-repair, White, Husband, <=50K, Male, Private
213,12234,22,0,0, United-States, Some-college,10,262819,40, Never-married, Adm-clerical, White, Not-in-family, <=50K, Female, State-gov
214,22473,25,0,0, United-States, Bachelors,13,267431,55, Never-married, Prof-specialty, Black, Own-child, <=50K, Female, Private
215,23631,32,0,0, United-States, Assoc-acdm,12,110279,35, Divorced, Prof-specialty, Black, Unmarried, <=50K, Female, Private
216,17209,44,0,0, United-States, HS-grad,9,230684,45, Married-civ-spouse, Transport-moving, White, Husband, <=50K, Male, Private
217,8946,46,0,0, United-States, HS-grad,9,57914,40, Married-civ-spouse, Protective-serv, White, Husband, <=50K, Male, Private
218,13863,45,0,0, India, Bachelors,13,209912,40, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Husband, >50K, Male, Private
219,10322,22,0,0, United-States, Some-college,10,306967,25, Never-married, Adm-clerical, White, Not-in-family, <=50K, Female, Private
220,1940,26,0,0, United-States, HS-grad,9,103148,40, Never-married, Adm-clerical, White, Not-in-family, <=50K, Female, Local-gov
221,3655,44,0,0, United-States, HS-grad,9,59474,40, Married-civ-spouse, Transport-moving, White, Husband, >50K, Male, Private
222,29599,25,0,0, United-States, HS-grad,9,236564,40, Never-married, Adm-clerical, White, Not-in-family, <=50K, Male, Private
223,22326,61,0,0, United-States, HS-grad,9,315977,40, Married-civ-spouse, Transport-moving, Black, Husband, <=50K, Male, Self-emp-not-inc
